datetime,open,high,low,close,volume
2015-06-25,18312.85,18539.15,18278.7,18492.9,0.0
2015-07-02,18605.1,18642.85,18513.3,18585.55,0.0
2015-07-09,18442.15,18584.0,18409.2,18508.7,0.0
2015-07-16,18870.5,19195.4,18867.5,19168.05,0.0
2015-07-23,18990.85,19091.45,18819.25,18865.0,0.0
2015-07-30,18383.0,18521.75,18367.2,18440.4,0.0
2015-08-06,18946.3,19100.55,18830.4,19029.35,0.0
2015-08-13,18314.0,18341.9,18080.5,18175.4,0.0
2015-08-20,18533.25,18711.35,18219.9,18283.1,0.0
2015-08-27,17175.65,17249.5,17061.85,17214.4,0.0
2015-09-03,16404.95,16607.4,16320.55,16555.4,0.0
2015-09-10,16351.75,16711.55,16192.25,16597.65,0.0
2015-09-16,16885.2,17015.75,16780.5,16964.85,0.0
2015-09-24,17206.1,17282.75,17070.85,17196.65,0.0
2015-10-01,17362.95,17390.6,17112.0,17150.2,0.0
2015-10-08,17622.85,17622.85,17401.2,17474.3,0.0
2015-10-15,17604.45,17752.7,17582.85,17686.1,0.0
2015-10-21,17814.55,17891.75,17565.35,17710.55,0.0
2015-10-29,17388.4,17395.15,17178.85,17212.2,0.0
2015-11-05,17166.45,17166.45,16957.35,16995.1,0.0
2015-11-11,16836.0,17016.8,16836.0,16956.0,0.0
2015-11-19,16944.35,17110.35,16874.7,17071.9,0.0
2015-11-26,16988.2,17111.45,16972.6,17036.55,0.0
2015-12-03,17137.8,17219.0,17080.25,17110.1,0.0
2015-12-10,16697.2,16745.25,16573.15,16711.05,0.0
2015-12-17,16704.05,16771.8,16544.65,16741.5,0.0
2015-12-24,16926.95,16939.6,16756.9,16811.0,0.0
2015-12-31,16916.05,16972.25,16896.65,16922.2,0.0
2016-01-07,16256.55,16256.55,16049.75,16073.85,0.0
2016-01-14,15612.1,15803.2,15453.4,15609.8,0.0
2016-01-21,15132.2,15364.6,14918.15,15101.2,0.0
2016-01-28,15569.55,15572.2,15349.75,15381.45,0.0
2016-02-04,14969.2,14978.35,14761.4,14869.15,0.0
2016-02-11,14518.65,14530.8,13969.85,14028.55,0.0
2016-02-18,14301.75,14385.65,14180.9,14298.15,0.0
2016-02-25,13844.45,13844.45,13519.9,13555.7,0.0
2016-03-03,15150.05,15206.25,15000.05,15177.75,0.0
2016-03-10,15347.45,15354.15,15098.5,15180.65,0.0
2016-03-17,15622.3,15704.75,15312.5,15444.0,0.0
2016-03-23,15884.25,15919.6,15799.95,15887.75,0.0
2016-03-31,16134.4,16282.75,16062.05,16141.65,0.0
2016-04-07,15668.95,15726.6,15458.05,15530.75,0.0
2016-04-13,16087.95,16349.7,16080.55,16278.55,0.0
2016-04-21,16526.55,16769.55,16526.55,16637.15,0.0
2016-04-28,16885.8,17023.35,16692.7,16716.9,0.0
2016-05-05,16292.4,16398.25,16193.7,16281.0,0.0
2016-05-12,16881.25,16962.0,16779.5,16923.7,0.0
2016-05-19,16725.45,16726.15,16535.75,16565.25,0.0
2016-05-26,17037.6,17424.05,16971.35,17359.3,0.0
2016-06-02,17405.15,17596.4,17350.45,17567.8,0.0
2016-06-09,17955.8,17986.15,17801.55,17887.7,0.0
2016-06-16,17827.6,17827.6,17545.8,17671.3,0.0
2016-06-23,17630.8,17907.5,17611.0,17892.45,0.0
2016-06-30,17825.3,17975.05,17795.9,17935.4,0.0
2016-07-07,18036.3,18146.55,17997.1,18084.9,0.0
2016-07-14,18633.5,18880.9,18580.2,18863.75,0.0
2016-07-21,18967.4,19000.3,18644.55,18674.3,0.0
2016-07-28,19050.4,19126.75,18998.8,19076.55,0.0
2016-08-04,18724.9,18724.9,18443.65,18571.7,0.0
2016-08-11,18621.0,18699.2,18537.1,18640.4,0.0
2016-08-18,19087.2,19367.45,19083.0,19352.8,0.0
2016-08-25,19383.7,19432.75,19282.8,19304.25,0.0
2016-09-01,19805.8,19928.2,19738.3,19788.85,0.0
2016-09-08,20439.2,20477.4,20335.2,20417.25,0.0
2016-09-15,19927.6,19955.4,19730.25,19837.55,0.0
2016-09-22,20153.1,20264.8,19996.9,20109.6,0.0
2016-09-29,19762.3,19793.2,19059.05,19183.65,0.0
2016-10-06,19518.55,19570.7,19325.8,19395.05,0.0
2016-10-13,19295.55,19295.55,18824.4,18954.25,0.0
2016-10-20,19493.9,19722.85,19479.25,19658.7,0.0
2016-10-27,19452.0,19544.2,19252.1,19514.6,0.0
